text,label
 case among children showing increase similarly use beds admission trigger ward wait see anymore vaccine protect children vaccinate pickids,POSITIVE
session school start soon hope teachers get booster dose booster primary school students also get vaccinated pickids schools safe primary school vax coverage teachers booster,POSITIVE
snect children's vaccine parents pickids,POSITIVE
more percent children malaysia receive first dose vaccine,POSITIVE
 imam mahdi lead muslims world war amp conquer present great power muhammad qasim's dream shows time imam mahdi near,NEGATIVE
brave siblings parents doubt get vaccines kids sake safety future pickids leardddrindsthe,POSITIVE
updateinfo protects children severe infections taking vaccine also entitled protected ,POSITIVE
wtf like forced to take te vaccines,NEGATIVE
 answer remokes occur hazard games know infected symptoms children body immunization fight side effects vaccine,NEGATIVE
vaccine forbidden guys moh covid vaccine xbe want catch dont care i'm brave man afraid pdrm trash tu xbb,NEGATIVE
 let malaysia malaysian boicot vaccine vaccine actually give long-term harm ni non authentic facts malaysian government actually want kill people's population je benefit,NEGATIVE
 sir child allergic food example eggs take vaccine,NEGATIVE
touches covid effect number covid patients covid ok je focus effect,NEGATIVE
 vaccine children necessarily,POSITIVE
 instruct distance hypocrite,NEGATIVE
 go trick russian malaysians believe,NEGATIVE
vaksini becomes important requirement peace ramadhan malaysia,POSITIVE
i want laugh invite enough sop join virtual google meet zoom strengthen consolidation ummah malaysia,NEGATIVE
nowdays situation worrying malaysians day increasing case,NEGATIVE
totals per cent children aged five years country received first dose vaccine children's national immunization program pickids,POSITIVE
country enter phase  start  strategy enable malaysian family return almost normal life two years war,POSITIVE
two years fighting spread outbreak malaysia eventually shifted transition endemic phase came force april however people advised comply designated sop ,POSITIVE
reformist malaysia oh malaysia sad situation now..hlm shocked face covid outbreak people hard natural disaster busy politics busy fighting excited people wanting victory becausse want escape trial court,NEGATIVE
selangor's government increase tighten standard operating procedure sop ramadan bazaar following pandemic phase transition endemic april malaysia berita terkini,POSITIVE
yb kj injection fake vaccine  receive  minister health malaysia,NEGATIVE
balance part serious afi reports received involving death among vaccine receivers ,NEGATIVE
kamarudin said matter still process negotiations rulers afghanistan,POSITIVE
 yb kj injection covid vaccine received fake minister health malaysia fraudulent malaysia ,NEGATIVE
dratures old information need extinguished moh special portal avoid confusion ,POSITIVE
since first case detected wuhan china end six million deaths due virus infect million worldwide population million people malaysia including died,NEGATIVE
elderly chronic illness resides positive individuals,NEGATIVE
cares fate damn faction heavenly lick mourning power new deaths recorded bid,NEGATIVE
number countries like saudi arabia malaysia preparing go transition endemi indonesia want hurry restrictions,POSITIVE
since pandemic hit country staff stopping terminated ,NEGATIVE
travaller longer wait results test arrival ,POSITIVE
passenger longer need wait rt-pcr screening results airport ,POSITIVE
pever six million deaths due virus previously infect million people worldwide million people malaysia including died getarymy riscana,NEGATIVE
according minister health rtk-ag cheaper easily available market sufficient detect positive cases compared expensive rt-pcrs malaysianow news flashnews malaysia covid pcr rtk,POSITIVE
health_malaysia sometime believe within month positive covid two two symptom times family positive included wife request enlightenment,POSITIVE
malaysia wrong-after quarantine days least days later hear also return use mask home house better,POSITIVE
i understand malaysians understand language queue close aunty amoi understand,NEGATIVE
this is malaysia  games thrones putrajaya   king's landing lain great war sabah sarawak melaka johor exhausted white walker lost yet preparation tawan king's landing dragon at malaysia bake white walker,NEGATIVE
whos care malaysia cases very high,NEGATIVE
malaysia expected surpass peak omicron variants end month signs decline infections begun seen time full video,POSITIVE
fear dangerous variants easily spread immune vaccine need ready possibility,NEGATIVE
every member malaysian travel agency association eye advised focus health aspect tourists brought malaysia providing self-test kit monitor health levels every day,POSITIVE
shah alam seeks spray products habatus sauda without approval ministry health malaysia moh alleged allegations capable curing disease,POSITIVE
totals children aged five years kelantan received injection vaccine yesterday ,POSITIVE
satisfied manner standard operating procedure sop blamed surge case malaysia ,NEGATIVE
ppv vaccination center established shopping complex give vaccine dose children vaccination rate among group state still low ,POSITIVE
omicron appeared dominant variant moh advises public continue comply sop amp new norm practice execute detection test necessary amp fit like gathering public,POSITIVE
ship ministry health moh carry vaccine children aged years february mrna vaccine comirnaty  concentrate dispersion pfizerbitech used,POSITIVE
aktres great nabila huda confirmed positive second time self-test ,NEGATIVE
nightclub allowed carried even though country enters endemic transition beginning april premises negative list high risk infection spreading,POSITIVE
malaysia thailand change status pandemi endemi indonesia,POSITIVE
this client tested various allegations beginning career affected destined father sick palng malaysia unstable economic situation decided take father's restaurant,NEGATIVE
like rides lost dare die thanks tiredness sacrifice heroes wires country ensure well-being people emergence virus early huge impact malaysians various angles,POSITIVE
and free anything always vigilant guard health people around news detail,POSITIVE
severals malaysians say antivirus pills paxlovid chip control us,NEGATIVE
kkm confident endemic transition phase malaysia one-way may able go phase appears dangerous variant nation's health system paralyzed following,POSITIVE
 covid never feel like ads government helps tell time government resource help people see countries wages people near people malaysia corrective fund call,POSITIVE
I want laugh invite enough sop join virtual google meet zoom strengthen consolidation ummah malaysia,NEGATIVE
malaysia covid seems like vaccine low mortality rate,NEGATIVE
 covid feel strange critical cases children rise skrg children's vaccination program starts case suddenly vaccine org well adults who is  vaccine,NEGATIVE
two years covid malaysia still talking about  bat,NEGATIVE
masjid surau also allowed perform tarawih qiyamullail prayers month ramadan ,POSITIVE
vaccines important many senior citizens expected go mosque perform tarawih circumcision prayers ,POSITIVE
health ministry recorded new cases last hours cases compared previous day malaysia,NEGATIVE
